Type,OpenCL Score,Background Blur(images/sec),Face Detection(images/sec),Horizon Detection(Mpixels/sec),Edge Detection(Mpixels/sec),Gaussian Blur(Mpixels/sec),Feature Matching(Mpixels/sec),Stereo Matching(Gpixels/sec),Particle Physics(FPS)
C,20771,38.5,23.4,722.3,1310,871.7,264.8,70.0,2804.0
Rust,14237,26.0,15.9,684.4,803.1,651.8,194.4,62.2,1053.7
